Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
6 GORDON PL,100-10,100,10,1859,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3578302905999, -71.1135982426999)"
7 GORDON PL,100-11,100,11,2783,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3575909779999, -71.1134519871)"
5 GORDON PL,100-12,100,12,2398,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3576885275999, -71.1133606047)"
3 GORDON PL,100-13,100,13,2398,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3577729475, -71.1132679127999)"
1 GORDON PL,100-14,100,14,2398,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3578567859999, -71.1131757162)"
6 FLORENCE ST,100-15,100,15,2367,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3580084903, -71.1131107820999)"
4 FLORENCE ST,100-16,100,16,2450,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3579476020999, -71.1130124594999)"
155 MAGAZINE ST,100-17,100,17,4500,101,Residential,SNGL-FAM-RES,1, , , , ,Religious NonTax,"(42.3578606283, -71.1128073884)"
159 MAGAZINE ST,100-18,100,18,3600,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3577656173999, -71.1129098109)"
163 MAGAZINE ST,100-19,100,19,4500,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3576681795, -71.1130182694)"
167 MAGAZINE ST,100-20,100,20,3600,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3575716116, -71.1131250008999)"
171 MAGAZINE ST,100-21,100,21,4230,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3574775320999, -71.1132274203999)"
177 MAGAZINE ST,100-22,100,22,3129,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3573710052, -71.1133074322)"
23 FLORENCE ST,100-23,100,23,2102,101,Residential,SNGL-FAM-RES,2, , , , , ,"(42.3588136694, -71.1138332748)"
176 PLEASANT ST,100-24,100,24,1940,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3589172184999, -71.1137747834)"
174 PLEASANT ST,100-25,100,25,2457,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3589946991999, -71.1137272594999)"
170 PLEASANT ST,100-26,100,26,3434,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3590629634, -71.1136444676999)"
226-228 CHESTNUT ST,100-29,100,29,5373,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3587760392, -71.1129569212999)"
222-224 CHESTNUT ST,100-30,100,30,5413,111,Residential,4-8-UNIT-APT,5, , , ,YES, ,"(42.3586935339999, -71.1128199648999)"
218-220 CHESTNUT ST,100-31,100,31,5349,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3586108371999, -71.1126827768)"
13-17 FLORENCE ST,100-35,100,35,7141,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3586351037999, -71.1133813201)"
19 FLORENCE ST,100-36,100,36,5625,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3587349713999, -71.1135482648)"
21 FLORENCE ST,100-37,100,37,3488,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3588059583999, -71.1136626267999)"
11 FLORENCE ST,100-38,100,38,3938,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3585478099, -71.1132372135)"
9 FLORENCE ST,100-39,100,39,3937,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3584858303999, -71.1131371481999)"
16 FLORENCE ST,100-4,100,4,6456,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3584787283, -71.1138747274)"
7 FLORENCE ST,100-40,100,40,5513,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3584126449, -71.1130143560999)"
3 FLORENCE ST,100-42,100,42,4275,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3582755535, -71.1127897153999)"
151 MAGAZINE ST,100-45,100,45,2920,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3581099381, -71.1125149453)"
153 MAGAZINE ST,100-46,100,46,3200,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3580306794999, -71.1126013707999)"
214 CHESTNUT ST,100-49,100,49,6767,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3585194102, -71.1125342354999)"
238 CHESTNUT ST,100-51,100,51,6412,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3589685470999, -71.1132719640999)"
232 CHESTNUT ST,100-52,100,52,6734,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3588683225, -71.113107084)"
10 FLORENCE ST,100-6,100,6,2380,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3581429644999, -71.1133349602)"
727 MEMORIAL DR,100-62,100,62,191663,323,Commercial,SH-CNTR/MALL,0, , , , , ,"(42.3572542882999, -71.1143407503)"
767 MEMORIAL DR,100-68,100,68,66427,300,Commercial,HOTEL,0, , , , , ,"(42.3586803852, -71.1147110293999)"
8 FLORENCE ST,100-7,100,7,2227,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3580871699, -71.113239847)"
242 CHESTNUT ST,100-74,100,74,4090,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3590657234, -71.1133936947999)"
248-250 CHESTNUT ST,100-75,100,75,5650,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3591989749, -71.1135394854999)"
141 MAGAZINE ST,100-76,100,76,6110,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3584333634999, -71.1122311887999)"
2 GORDON PL,100-8,100,8,2925,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.357994562, -71.1134406129999)"
14 FLORENCE ST,100-85,100,85,5663,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3583100014, -71.1137134731)"
187 MAGAZINE ST,100-86,100,86,22024,334,Commercial,GAS-STATION,0, , , , , ,"(42.3567494891999, -71.1141853152)"
5 FLORENCE ST,100-87,100,87,3819,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3583324339, -71.1128947465)"
12 FLORENCE ST,100-88,100,88,11048,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3581514299999, -71.1135746426)"
4 GORDON PL,100-9,100,9,1755,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3579082047999, -71.1135359180999)"
149 MAGAZINE ST,100-90,100,90,2880,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3581887909, -71.1124278452)"
1 FLORENCE ST,100-91,100,91,4275,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3582120857999, -71.1126857233)"
5R FLORENCE ST,100-93,100,93,191,132,Vacant Residential,RES-UDV-LAND,0, , , , , ,"(42.3584516071, -71.1128358426999)"
145 MAGAZINE ST,100-94,100,94,3046,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3583421469, -71.1123242374)"
147 MAGAZINE ST,100-95,100,95,2934,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3582866304, -71.1123936683)"
27 PRINCE ST,101-103,101,103,5295,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3608094128999, -71.1103164010999)"
41 PRINCE ST,101-104,101,104,5500,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3609046047999, -71.1104763074999)"
45-47 PRINCE ST,101-105,101,105,4500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3609893447, -71.1106185584)"
55 PRINCE ST,101-106,101,106,5085,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3610704239999, -71.1107549073)"
61 PRINCE ST,101-108,101,108,5180,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3611601007999, -71.1109060114)"
20-22 KENWOOD ST,101-114,101,114,2577,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3603307228, -71.1109700155)"
24 KENWOOD ST,101-115,101,115,2870,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3604223171, -71.1108656491)"
277 ALLSTON ST,101-116,101,116,3357,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3602938253999, -71.1107631695)"
14 KENWOOD ST,101-117,101,117,3344,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3601258467, -71.1111466549999)"
12 PRINCE ST,101-119,101,119,6000,112,Residential,>8-UNIT-APT,12, , , ,YES, ,"(42.3603220741999, -71.1102713574999)"
105 MAGAZINE ST,101-120,101,120,5500,0112,Mixed Use Residential,MXD >8-UNIT-APT,12,groundfloor, , , , ,"(42.3602252732, -71.1101065260999)"
265 ALLSTON ST,101-121,101,121,2893,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3601670926, -71.1105334339)"
269 ALLSTON ST,101-122,101,122,2997,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3602289183, -71.1106451186)"
107 MAGAZINE ST,101-123,101,123,3010,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3601074553999, -71.1103135848999)"
111 MAGAZINE ST,101-124,101,124,3000,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3600324013999, -71.1104033336)"
PLEASANT ST,101-125,101,125,217,972,Transportation,Road Right of Way,0, , , , ,City NonTax,"(42.3615177714999, -71.1109699759)"
34 FAIRMONT ST,101-126,101,126,2517,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3615820214999, -71.1108972225)"
304 ALLSTON ST,101-127,101,127,3120,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3604738590999, -71.1117841737)"
1 STINSON CT,101-128,101,128,2040,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.360335448, -71.1119331552999)"
3 STINSON CT,101-129,101,129,2055,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3602252888, -71.1120557228999)"
249 CHESTNUT ST,101-130,101,130,3806,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3594706815, -71.1133040842999)"
164 PLEASANT ST,101-131,101,131,1588,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.35955631, -71.1131535791)"
397 PUTNAM AVE,101-136,101,136,3229,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3598696159999, -71.1126412890999)"
401 PUTNAM AVE,101-137,101,137,3452,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3597858683, -71.1125010266)"
27 WHITNEY AVE,101-141,101,141,3823,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3593028172999, -71.1130249203)"
28 WHITNEY AVE,101-143,101,143,6135,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3591865105999, -71.1127590961)"
20 WHITNEY AVE,101-145,101,145,2322,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3593416515999, -71.1125886909999)"
411 PUTNAM AVE,101-147,101,147,3990,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3596397095, -71.1122636369999)"
415 PUTNAM AVE,101-148,101,148,4945,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3595229152, -71.1121353852999)"
421 PUTNAM AVE,101-149,101,149,5140,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3594235269, -71.1119864132)"
